Index,fr,en,es
12,"Tu as mis une bonne raclée à ces HootHoot, voici tes récompenses :)","You put a good beating to these Hoothoot, here are your rewards :)",
13,Merci d'avoir refroidi ces HootHoot.,Thanks for chasing these Hoothoot.,
14,,,
15,,,
16,\C[2]Gary le Scout :\C[0] \c[2]trainer_spotted(\c[1]7\c[2])\c[0] m'a permis de te repérer jusqu'à 7 cases de distance ! Faisons un petit combat pour nous échauffer.,\c[2]Scout Gary:\c[0] \c[2]trainer_spotted(\c[1]7\c[2])\c[0] allowed me to see you up to 7 tiles away in front of me! Let's battle to warm up.,
17,\C[2]Gary le Scout :\C[0] Je ne m'attendais pas à me faire battre...,\c[2]Scout Gary:\c[0] I wasn't expecting getting beaten.,
18,\C[2]Gary le Scout :\C[0] Je t'ai battu mais je t’évite tout le trajet jusqu’au Centre Pokémon.,\c[2]Scout Gary:\c[0] I beat you but I'll heal your party so you won't have to go to the Pokémon Center.,
19,\C[2]Gary le Scout :\C[0] Viens me parler si tu souhaites m'affronter de nouveau.,\c[2]Scout Gary:\c[0] Come talk to me if you want to battle again.,
20,\C[2]Gary le Scout :\C[0] Pourquoi tu me regardes comme ça ? Tu m'as déjà battu...,\c[2]Scout Gary:\c[0] Why are you looking at me like this ? You already beat me...,
21,\C[2]Gary le Scout :\C[0] Tu souhaites encore te battre ?,\c[2]Scout Gary:\c[0] Would you like to battle again ?,
22,"\C[2]Gary le Scout :\C[0] Pas de problème, je comprends. Reviens me voir si tu changes d'avis.","\c[2]Scout Gary:\c[0] No problem, I understand. Come back if you change your mind.",
23,,,
24,"Ce Pokémon semble vouloir vous attaquer ! En utilisant la commande \c[2]$wild_battle.start_battle(\c[1]id, level, *others\c[2])\c[0] on peut démarrer un combat contre un Pokémon sauvage sur la map. Pour un combat double contre Parasect et Paras de niveaux 24 et 15, il faut entrer \c[2]$wild_battle.start_battle(\c[1]47, 24, 46, 15\c[2])\c[0].","This Pokémon is attacking you! By using the script command \c[2]$wild_battle.start_battle(\c[1]id, level, *others\c[2])\c[0] you can start a battle against a wild Pokémon on the map. In order to perform a double battle against Parasect and Paras at level 24 and 15, you should write: \c[2]$wild_battle.start_battle(\c[1]47, 24, 46, 15\c[2])\c[0].",
25,,,
26,La présence de cette pierre pleine de mousse signifie que dans cette zone il est possible de faire évoluer son Évoli en Phyllali !,This Moss Rock makes Evee able to evolve in Leafeon on this map!,
27,,,
28,"\C[2]Daniel le Ruinemaniac :\C[0] Je cherche un Pokémon tout rose qui lévite... Mais c'est un ""Fuyard"", du coup pas facile de tomber dessus !",\c[2]Ruin Maniac Daniel:\c[0] I'm seaching for a pink levitating Pokémon... But it's a roaming Pokémon so it's hard to find it!,
29,\C[2]Daniel le Ruinemaniac :\C[0] Tu veux savoir comment on paramètre un Pokémon fuyard ?,\c[2]Ruin Maniac Daniel:\c[0] Would you like to know how to set up a Roaming Pokémon ?,
30,"\C[2]Daniel le Ruinemaniac :\C[0] Pour ajouter un Pokémon fuyard sur une route, il faut rentrer dans une commande script \c[2]$wild_battle.add_roaming_pokemon(\c[1]chance, proc_id, pokemon_hash\c[2])\c[0]. \c[1]chance\c[0] définit la chance de rencontrer ce Pokémon (2 donne une chance sur 2, 4 donne une chance sur 4, etc.). \c[1]proc_id\c[0] définit l'id du proc stocké dans \c[2]::PFM::Wild_RoamingInfo::RoamingProcs\c[0] à prendre pour déplacer le Pokémon. \c[1]pokemon_hash\c[0] est un hash, le même utilisé pour \c[2]ajouter_pokemon_param\c[0].","\c[2]Ruin Maniac Daniel:\c[0] To add a Roaming Pokémon on a road, you should enter in a script command \c[2]$wild_battle.add_roaming_pokemon(\c[1]chance, proc_id, pokemon_hash\c[2])\c[0]. \c[1]chance\c[0] defines the chance to encounter the Pokémon (2 = 1/2, 4 = 1/4, etc...). \c[1]proc_id\c[0] defines the id of the Proc to use in \c[2]::PFM::Wild_RoamingInfo::RoamingProcs\c[0] to move the Pokémon between maps. \c[1]pokemon_hash\c[0] is a hash, the same used for \c[2]add_specific_pokemon\c[0].",
31,"\C[2]Daniel le Ruinemaniac :\C[0] Si je rentre donc \c[2]$wild_battle.add_roaming_pokemon(\c[1]5, 0, id: 151, level: 20\c[2])\c[0] dans une commande script, le joueur aura 1 chance sur 5 de rencontrer \C[3]Mew\C[0], de niveau 20 quand il marchera dans les hautes herbes.","\c[2]Ruin Maniac Daniel:\c[0] So if I enter \c[2]$wild_battle.add_roaming_pokemon(\c[1]5, 0, id: 151, level: 20\c[2])\c[0] in a script command, the player will have a 1 out of 5 chance to encounter a level 20 \c[3]Mew\c[0] while walking in the tall grass.",
32,"\C[2]Daniel le Ruinemaniac :\C[0] Voilà, tu peux maintenant tenter de capturer ce Pokémon que je recherche. Je te donne cinq Poké Balls, bonne chance.","\c[2]Ruin Maniac Daniel:\c[0] Now you can try to catch the Pokémon I'm looking for. I give you 5 Poké Balls, good luck.",
33,,,
34,"Les yeux de ce Mimitoss ont une couleur différente de ceux que j'ai déjà rencontré, c'est étrange !",The eyes of this Venonat look different than the eyes of the ones I encountered before. How strange!,
35,,,
36,\C[2]Jizama le Karatéka :\C[0] J'essaye de briser ce rocher à mains nues depuis déjà deux heures. Je me sens faible.,\c[2]Black Belt Jizama:\c[0] I'm trying to break this rock with my bare hands. I've been doing this for two hours... I feel like a weakling...,
37,,,
38,"\C[2]Howard le Montagnard :\C[0] Suivant le system_tag sur lequel tu te trouves, les Pokémon que tu rencontres sont différents. Tu le savais ? Il faut donc bien veiller à ce que tes tags soient correctement configurés ! Pour plus de réalisme, n'oublie pas également de configurer le fond de combat pour les combats contre des dresseurs, afin qu'un combat en montagne se déroule vraiment dans un décor de montagnes !","\c[2]Hiker Howard:\c[0] Did you know that the Pokémon you encounter are different depending on the system_tag you're currently on? So always ensure those tags are well configured! For a greater realism, don't forget to configure the battleground as well so a trainer battle taking place in mountain really has a mountainscape!",
