en,fr,de,es,it,kana,ko
Escape Ropes,Cordes Sortie,Fluchtseile,Cuerdas Huida,Funi di Fuga,あなぬけのヒモ,동굴탈출로프
Repels,Repousses,Schutze,Repelentes,Repellenti,むしよけスプレー,벌레회피스프레이
Sun Stones,Pierres Soleil,Sonnensteine,Piedras Solares,Pietresolari,たいようのいし,태양의돌
Moon Stones,Pierres Lune,Mondsteine,Piedras Lunares,Pietrelunari,つきのいし,달의돌
Fire Stones,Pierres Feu,Feuersteine,Piedras Fuego,Pietrefocaie,ほのおのいし,불꽃의돌
Thunder Stones,Pierres Foudre,Donnersteine,Piedras Trueno,Pietretuono,かみなりのいし,천둥의돌
Water Stones,Pierres Eau,Wassersteine,Piedras Agua,Pietreidriche,みずのいし,물의돌
Leaf Stones,Pierres Plante,Blattsteine,Piedras Hoja,Pietrefoglia,リーフのいし,리프의돌
Tiny Mushrooms,Petits Champis,Minipilze,Minisetas,Minifunghi,ちいさなキノコ,작은버섯
Big Mushrooms,Gros Champis,Riesenpilze,Setas Grandes,Grandi Funghi,おおきなキノコ,큰버섯
Pearls,Perles,Perlen,Perlas,Perle,しんじゅ,진주
Big Pearls,Grandes Perles,Riesenperlen,Perlas Grandes,Grandi Perle,おおきなしんじゅ,큰진주
Stardusts,Poussières Étoiles,Sternenstäube,Polvos Estelares,Polvostella,ほしのすな,별의모래
Star Pieces,Morceaux d’Étoiles,Sternenstücke,Trozos Estrella,Pezzi Stella,ほしのかけら,별의조각
Nuggets,Pépites,Nuggets,Pepitas,Pepite,きんのたま,금구슬
Heart Scales,Écailles Cœur,Herzschuppen,Escamas Corazón,Squame Cuore,ハートのウロコ,하트비늘
Honey,Miels,Honige,Mieles,Miele,あまいミツ,달콤한꿀
Growth Mulch,Fertipousses,Wachsmulche,Abonos Rápidos,Fertilrapido,すくすくこやし,무럭무럭비료
Damp Mulch,Fertihumides,Feuchtmulche,Abonos Lentos,Fertilidro,じめじめこやし,축축이비료
Stable Mulch,Fertistables,Stabilmulche,Abonos Fijadores,Fertilsaldo,ながながこやし,오래오래비료
Gooey Mulch,Fertiglus,Neumulche,Abonos Brote,Fertilcolla,ねばねばこやし,끈적끈적비료
Root Fossils,Fossiles Racines,Wurzelfossilien,Fósiles Raíz,Radifossili,ねっこのカセキ,뿌리화석
Claw Fossils,Fossiles Griffes,Klauenfossilien,Fósiles Garra,Fossilunghia,ツメのカセキ,발톱화석
Helix Fossils,Nautiles,Helixfossilien,Fósiles Hélix,Helixfossili,かいのカセキ,조개화석
Dome Fossils,Fossiles Dômes,Domfossilien,Fósiles Domo,Domofossili,こうらのカセキ,껍질화석
Old Ambers,Vieux Ambres,Altbernsteine,Ámbares Viejos,Ambre Antiche,ひみつのコハク,비밀의호박
Armor Fossils,Fossiles Armures,Panzerfossilien,Fósiles Coraza,Fossilscudo,たてのカセキ,방패의화석
Skull Fossils,Fossiles Crânes,Kopffossilien,Fósiles Cráneo,Fossilcranio,ずがいのカセキ,두개의화석
Rare Bones,Os Rares,Steinknochen,Huesos Raros,Ossi Rari,きちょうなホネ,귀중한뼈
Shiny Stones,Pierres Éclat,Leuchtsteine,Piedras Día,Pietrebrillo,ひかりのいし,빛의돌
Dusk Stones,Pierres Nuit,Finstersteine,Piedras Noche,Neropietre,やみのいし,어둠의돌
Dawn Stones,Pierres Aube,Funkelsteine,Piedras Alba,Pietralbori,めざめいし,각성의돌
Oval Stones,Pierres Ovales,Ovale Steine,Piedras Ovales,Pietreovali,まんまるいし,동글동글돌
Odd Keystones,Clés de Voûte,Spiritkerne,Piedras Espíritu,Roccianime,かなめいし,쐐기돌
Griseous Orbs,Orbes Platinés,Platinum-Orbs,Griseosferas,Grigiosfere,はっきんだま,백금옥
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
Douse Drives,Modules Aqua,Aquamodule,HidroROM,Idromoduli,アクアカセット,아쿠아카세트
Shock Drives,Modules Choc,Blitzmodule,FulgoROM,Voltmoduli,イナズマカセット,번개카세트
Burn Drives,Modules Pyro,Flammenmodule,PiroROM,Piromoduli,ブレイズカセット,블레이즈카세트
Chill Drives,Modules Cryo,Gefriermodule,CrioROM,Gelomoduli,フリーズカセット,프리즈카세트
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
Sweet Hearts,Chococœurs,Herzkonfekte,Corazones Dulces,Dolcicuori,ハートスイーツ,하트스위트
Adamant Orbs,Orbes Adamants,Adamant-Orbs,Diamansferas,Adamasfere,こんごうだま,금강옥
Lustrous Orbs,Orbes Perlés,Weiß-Orbs,Lustresferas,Splendisfere,しらたま,백옥
Greet Mail,Lettres Salut,Grußbriefe,Cartas Iniciales,Messaggi Inizio,はじめてメール,첫메일
Favored Mail,Lettres Fan,Faiblebriefe,Cartas Favoritos,Messaggi TVB,だいすきメール,애호메일
RSVP Mail,Lettres Invit,Einladebriefe,Cartas Invitar,Messaggi Invito,おさそいメール,권유메일
Thanks Mail,Lettres Merci,Dankesbriefe,Cartas Gracias,Messaggi Grazie,かんしゃメール,감사메일
Inquiry Mail,Lettres Demande,Fragebriefe,Cartas Pregunta,Messaggi Chiedi,しつもんメール,질문메일
Like Mail,Lettres Avis,Insiderbriefe,Cartas Gustos,Mess. Sugg.,おすすめメール,추천메일
Reply Mail,Lettres Réponse,Rückbriefe,Cartas Respuesta,Mess. Risp.,おかえしメール,답장메일
Bridge Mail S,Lettres Pont S,Brückbriefe H,Cartas Puente S,Mess. Frec.,ブリッジメールＳ,브리지메일S
Bridge Mail D,Lettres Pont Y,Brückbriefe M,Cartas Puente F,Mess. Libec.,ブリッジメールＨ,브리지메일M
Bridge Mail T,Lettres Pont F,Brückbriefe Z,Cartas Puente A,Mess. Prop.,ブリッジメールＣ,브리지메일C
Bridge Mail V,Lettres Pont H,Brückbriefe D,Cartas Puente V,Mess. Vill.,ブリッジメールＶ,브리지메일V
Bridge Mail M,Lettres Pont I,Brückbriefe W,Cartas Puente P,Mess. Merav.,ブリッジメールＷ,브리지메일W
Cheri Berries,Baies Ceriz,Amrenabeeren,Bayas Zreza,Baccaliegia,クラボのみ,버치열매
Chesto Berries,Baies Maron,Maronbeeren,Bayas Atania,Baccastagna,カゴのみ,유루열매
Pecha Berries,Baies Pêcha,Pirsifbeeren,Bayas Meloc,Baccapesca,モモンのみ,복슝열매
Rawst Berries,Baies Fraive,Fragiabeeren,Bayas Safre,Baccafrago,チーゴのみ,복분열매
Aspear Berries,Baies Willia,Wilbirbeeren,Bayas Perasi,Baccaperina,ナナシのみ,배리열매
Leppa Berries,Baies Mepo,Jonagobeeren,Bayas Zanama,Baccamela,ヒメリのみ,과사열매
Oran Berries,Baies Oran,Sinelbeeren,Bayas Aranja,Baccarancia,オレンのみ,오랭열매
Persim Berries,Baies Kika,Persimbeeren,Bayas Caquic,Baccaki,キーのみ,시몬열매
Lum Berries,Baies Prine,Prunusbeeren,Bayas Ziuela,Baccaprugna,ラムのみ,리샘열매
Sitrus Berries,Baies Sitrus,Tsitrubeeren,Bayas Zidra,Baccacedro,オボンのみ,자뭉열매
Figy Berries,Baies Figuy,Giefebeeren,Bayas Higog,Baccafico,フィラのみ,무화열매
Wiki Berries,Baies Wiki,Wikibeeren,Bayas Wiki,Baccakiwi,ウイのみ,위키열매
Mago Berries,Baies Mago,Magobeeren,Bayas Ango,Baccamango,マゴのみ,마고열매
Aguav Berries,Baies Gowav,Gauvebeeren,Bayas Guaya,Baccaguava,バンジのみ,아바열매
Iapapa Berries,Baies Papaya,Yapabeeren,Bayas Pabaya,Baccapaia,イアのみ,파야열매
Razz Berries,Baies Framby,Himmihbeeren,Bayas Frambu,Baccalampon,ズリのみ,라즈열매
Bluk Berries,Baies Remu,Morbbeeren,Bayas Oram,Baccamora,ブリーのみ,블리열매
Nanab Berries,Baies Nanab,Nanabbeeren,Bayas Latano,Baccabana,ナナのみ,나나열매
Wepear Berries,Baies Repoi,Nirbebeeren,Bayas Peragu,Baccapera,セシナのみ,서배열매
Pinap Berries,Baies Nanana,Sananabeeren,Bayas Pinia,Baccananas,パイルのみ,파인열매
Pomeg Berries,Baies Grena,Granabeeren,Bayas Grana,Baccagrana,ザロクのみ,유석열매
Kelpsy Berries,Baies Alga,Setangbeeren,Bayas Algama,Baccalga,ネコブのみ,시마열매
Qualot Berries,Baies Qualot,Qualotbeeren,Bayas Ispero,Baccaloquat,タポルのみ,파비열매
Hondew Berries,Baies Lonme,Honmelbeeren,Bayas Meluce,Baccamelon,ロメのみ,로매열매
Grepa Berries,Baies Résin,Labrusbeeren,Bayas Uvav,Baccauva,ウブのみ,또뽀열매
Tamato Berries,Baies Tamato,Tamotbeeren,Bayas Tamate,Baccamodoro,マトマのみ,토망열매
Cornn Berries,Baies Siam,Saimbeeren,Bayas Mais,Baccavena,モコシのみ,수숙열매
Magost Berries,Baies Mangou,Magostbeeren,Bayas Aostan,Baccagostan,ゴスのみ,고스티열매
Rabuta Berries,Baies Rabuta,Rabutabeeren,Bayas Rautan,Baccambutan,ラブタのみ,라부탐열매
Nomel Berries,Baies Tronci,Tronzibeeren,Bayas Monli,Baccalemon,ノメルのみ,노멜열매
Spelon Berries,Baies Kiwan,Kiwanbeeren,Bayas Wikano,Baccamelos,ノワキのみ,메호키열매
Pamtre Berries,Baies Palma,Pallmbeeren,Bayas Plama,Baccapalma,シーヤのみ,자야열매
Watmel Berries,Baies Stekpa,Wasmelbeeren,Bayas Sambia,Baccacomero,カイスのみ,슈박열매
Durin Berries,Baies Durin,Durinbeeren,Bayas Rudion,Baccadurian,ドリのみ,두리열매
Belue Berries,Baies Myrte,Myrtilbeeren,Bayas Andano,Baccartillo,ベリブのみ,루베열매
Occa Berries,Baies Chocco,Koakobeeren,Bayas Caoca,Baccacao,オッカのみ,오카열매
Passho Berries,Baies Pocpoc,Foepasbeeren,Bayas Pasio,Baccapasflo,イトケのみ,꼬시개열매
Wacan Berries,Baies Parma,Kerzalbeeren,Bayas Gualot,Baccaparmen,ソクノのみ,초나열매
Rindo Berries,Baies Ratam,Grindobeeren,Bayas Tamar,Baccarindo,リンドのみ,린드열매
Yache Berries,Baies Nanone,Kiroyabeeren,Bayas Rimoya,Baccamoya,ヤチェのみ,플카열매
Chople Berries,Baies Pomroz,Rospelbeeren,Bayas Pomaro,Baccarosmel,ヨプのみ,로플열매
Kebia Berries,Baies Kébia,Grarzbeeren,Bayas Kebia,Baccakebia,ビアーのみ,으름열매
Shuca Berries,Baies Jouca,Schukebeeren,Bayas Acardo,Baccanaca,シュカのみ,슈캐열매
Coba Berries,Baies Cobaba,Kobabeeren,Bayas Kouba,Baccababa,バコウのみ,바코열매
Payapa Berries,Baies Yapap,Pyapabeeren,Bayas Payapa,Baccapayapa,ウタンのみ,야파열매
Tanga Berries,Baies Panga,Tanigabeeren,Bayas Yecana,Baccaitan,タンガのみ,리체열매
Charti Berries,Baies Charti,Chiaribeeren,Bayas Alcho,Baccaciofo,ヨロギのみ,루미열매
Kasib Berries,Baies Sédra,Zitarzbeeren,Bayas Drasi,Baccacitrus,カシブのみ,수불열매
Haban Berries,Baies Fraigo,Terirobeeren,Bayas Anjiro,Baccahaban,ハバンのみ,하반열매
Colbur Berries,Baies Lampou,Burleobeeren,Bayas Dillo,Baccaxan,ナモのみ,마코열매
Babiri Berries,Baies Babiri,Babiribeeren,Bayas Baribá,Baccababiri,リリバのみ,바리비열매
Chilan Berries,Baies Zalis,Latchibeeren,Bayas Chilan,Baccacinlan,ホズのみ,카리열매
Liechi Berries,Baies Lichii,Lydzibeeren,Bayas Lichi,Baccalici,チイラのみ,치리열매
Ganlon Berries,Baies Lingan,Linganbeeren,Bayas Gonlan,Baccalongan,リュガのみ,용아열매
Salac Berries,Baies Sailak,Salkabeeren,Bayas Aslac,Baccasalak,カムラのみ,캄라열매
Petaya Berries,Baies Pitaye,Tahaybeeren,Bayas Yapati,Baccapitaya,ヤタピのみ,야타비열매
Apicot Berries,Baies Abriko,Apikobeeren,Bayas Aricoc,Baccacocca,ズアのみ,규살열매
Lansat Berries,Baies Lansat,Lansatbeeren,Bayas Zonlan,Baccalangsa,サンのみ,랑사열매
Starf Berries,Baies Frista,Krambobeeren,Bayas Arabol,Baccambola,スターのみ,스타열매
Enigma Berries,Baies Enigma,Enigmabeeren,Bayas Enigma,Baccaenigma,ナゾのみ,의문열매
Micle Berries,Baies Micle,Wunfrubeeren,Bayas Lagro,Baccaracolo,ミクルのみ,미클열매
Custap Berries,Baies Chérim,Eipfelbeeren,Bayas Chiri,Baccacrela,イバンのみ,애슈열매
Jaboca Berries,Baies Jaboca,Jabocabeeren,Bayas Jaboca,Baccajaba,ジャポのみ,자보열매
Rowap Berries,Baies Pommo,Roselbeeren,Bayas Magua,Baccaroam,レンブのみ,애터열매
Bright Powders,Poudres Claires,Blendpuder,Polvos Brillo,Luminpolvere,ひかりのこな,반짝가루
White Herbs,Herbes Blanches,Schlohkräuter,Hierbas Blancas,Erbechiare,しろいハーブ,하양허브
Macho Braces,Bracelets Macho,Machobänder,Brazales Firmes,Crescicappa,きょうせいギプス,교정깁스
Exp. Shares,Multi Exp,EP-Teiler,Repartir Exp,Condividi Esp.,がくしゅうそうち,학습장치
Quick Claws,Vives Griffes,Flinkklauen,Garras Rápidas,Rapidartigli,せんせいのツメ,선제공격손톱
Soothe Bells,Grelots Zen,Sanftglocken,Campanas Alivio,Calmanelle,やすらぎのすず,평온의방울
Mental Herbs,Herbes Mental,Mentalkräuter,Hierbas Mentales,Mentalerbe,メンタルハーブ,멘탈허브
Choice Bands,Bandeaux Choix,Wahlbänder,Cintas Elegidas,Bendescelta,こだわりハチマキ,구애머리띠
King’s Rocks,Roches Royales,King-Steine,Rocas del Rey,Rocce di Re,おうじゃのしるし,왕의징표석
Silver Powders,Poudres Argentées,Silberstäube,Polvos Plata,Argenpolvere,ぎんのこな,은빛가루
Amulet Coins,Pièces Rune,Münzamulette,Monedas Amuleto,Monetamuleti,おまもりこばん,부적금화
Cleanse Tags,Runes Purifiantes,Schutzbänder,Amuletos,Velipuri,きよめのおふだ,순결의부적
Soul Dews,Rosées Âme,Seelentau,Rocíos Bondad,Cuorugiada,こころのしずく,마음의물방울
Deep Sea Teeth,Dents Océan,Abysszähne,Dientes Marinos,Denti Abissi,しんかいのキバ,심해의이빨
Deep Sea Scales,Écailles Océan,Abyssplatten,Escamas Marinas,Squameabissi,しんかいのウロコ,심해의비늘
Smoke Balls,Boules Fumée,Rauchbälle,Bolas Humo,Palle Fumo,けむりだま,연막탄
Everstones,Pierres Stase,Ewigsteine,Piedras Eternas,Pietrestanti,かわらずのいし,변함없는돌
Focus Bands,Bandeaux,Fokus-Bänder,Cintas Focus,Bandane,きあいのハチマキ,기합의머리띠
Lucky Eggs,Œufs Chance,Glücks-Eier,Huevos Suerte,Fortunuovo,しあわせタマゴ,행복의알
Scope Lenses,Lentilscopes,Scope-Linsen,Periscopios,Mirini,ピントレンズ,초점렌즈
Metal Coats,Peaux Métal,Metallmäntel,Revest. Metálicos,Metalcoperte,メタルコート,금속코트
Leftovers,Restes,Überreste,Restos,Avanzi,たべのこし,먹다남은음식
Dragon Scales,Écailles Draco,Drachenhäute,Escamas Dragón,Squame Drago,りゅうのウロコ,용의비늘
Light Balls,Balles Lumière,Kugelblitze,Bolas Luminosas,Elettropalle,でんきだま,전기구슬
Soft Sand,Sables Doux,Pudersande,Arenas Finas,Sabbia Soffice,やわらかいすな,부드러운모래
Hard Stones,Pierres Dures,Granitsteine,Piedras Duras,Pietredure,かたいいし,딱딱한돌
Miracle Seeds,Grains Miracles,Wundersaaten,Semillas Milagro,Miracolsemi,きせきのタネ,기적의씨
Black Glasses,Lunettes Noires,Schattengläser,Gafas de Sol,Occhialineri,くろいメガネ,검은안경
Black Belts,Ceintures Noires,Schwarzgurte,Cinturones Negros,Cinturenere,くろおび,검은띠
Magnets,Aimants,Magnete,Imanes,Calamite,じしゃく,자석
Mystic Waters,Eaux Mystiques,Zauberwässer,Aguas Místicas,Acqua Magica,しんぴのしずく,신비의물방울
Sharp Beaks,Becs Pointus,Hackattacken,Picos Afilados,Beccaffilati,するどいくちばし,예리한부리
Poison Barbs,Pics Venin,Giftstiche,Flechas Venenosas,Velenaculei,どくバリ,독바늘
Never-Melt Ices,Glaces Éternelles,Ewiges Eis,Antiderretir,Gelomai,とけないこおり,녹지않는얼음
Spell Tags,Runes Sort,Bannsticker,Hechizos,Spettrotarghe,のろいのおふだ,저주의부적
Twisted Spoons,Cuillers Tordues,Krummlöffel,Cucharas Torcidas,Cucchiai Torti,まがったスプーン,휘어진스푼
Charcoals,Charbons,Holzkohlen,Carbones,Carbonella,もくたん,목탄
Dragon Fangs,Crocs Dragon,Drachenzähne,Colmillos Dragón,Dentididrago,りゅうのキバ,용의이빨
Silk Scarves,Mouchoirs Soie,Seidenschals,Pañuelos Seda,Sciarpe Seta,シルクのスカーフ,실크스카프
Up-Grades,Améliorators,Up-Grades,Mejoras,Upgrade,アップグレード,업그레이드
Shell Bells,Grelots Coque,Seegesänge,Campanas Concha,Conchinelle,かいがらのすず,조개껍질방울
Sea Incenses,Encens Mer,Seerauch,Inciensos Marinos,Marearomi,うしおのおこう,바닷물향로
Lax Incenses,Encens Doux,Laxrauch,Inciensos Suaves,Distraromi,のんきのおこう,무사태평향로
Lucky Punches,Poings Chance,Lucky Punchs,Puños Suerte,Fortunpugni,ラッキーパンチ,럭키펀치
Metal Powders,Poudres Métal,Metallstäube,Polvos Metálicos,Metalpolvere,メタルパウダー,금속파우더
Thick Clubs,Masses Os,Kampfknochen,Huesos Gruesos,Ossispessi,ふといホネ,굵은뼈
Sticks,Bâtons,Lauchstangen,Palos,Gambi,ながねぎ,대파
Red Scarves,Foulards Rouges,Rote Schals,Pañuelos Rojos,Fasce Rosse,あかいバンダナ,빨강밴드
Blue Scarves,Foulards Bleus,Blaue Schals,Pañuelos Azules,Fasce Blu,あおいバンダナ,파랑밴드
Pink Scarves,Foulards Roses,Rosa Schals,Pañuelos Rosas,Fasce Rosa,ピンクのバンダナ,분홍밴드
Green Scarves,Foulards Verts,Grüne Schals,Pañuelos Verdes,Fasce Verdi,みどりのバンダナ,초록밴드
Yellow Scarves,Foulards Jaunes,Gelbe Schals,Pañuelos Amarillos,Fasce Gialle,きいろのバンダナ,노랑밴드
Wide Lenses,Loupes,Großlinsen,Lupas,Grandilenti,こうかくレンズ,광각렌즈
Muscle Bands,Bandeaux Muscle,Muskelbänder,Cintas Fuertes,Muscolbande,ちからのハチマキ,힘의머리띠
Wise Glasses,Lunettes Sages,Schlaugläser,Gafas Especiales,Saviocchiali,ものしりメガネ,박식안경
Expert Belts,Ceintures Pro,Expertengurte,Cintas Experto,Abilcinture,たつじんのおび,달인의띠
Light Clays,Lumargiles,Lichtlehme,Refleluces,Creta Luce,ひかりのねんど,빛의점토
Life Orbs,Orbes Vie,Leben-Orbs,Vidasferas,Assorbisfere,いのちのたま,생명의구슬
Power Herbs,Herbes Pouvoir,Energiekräuter,Hierbas Únicas,Vigorerbe,パワフルハーブ,파워풀허브
Toxic Orbs,Orbes Toxiques,Toxik-Orbs,Toxisferas,Tossicsfere,どくどくだま,맹독구슬
Flame Orbs,Orbes Flamme,Heiß-Orbs,Llamasferas,Fiammosfere,かえんだま,화염구슬
Quick Powders,Poudres Vite,Flottstäube,Polvos Veloces,Velopolvere,スピードパウダー,스피드파우더
Focus Sashes,Ceintures Force,Fokusgurte,Bandas Focus,Focalnastri,きあいのタスキ,기합의띠
